$..1...||..2...||..3...||..4...||..5...||..6...||..7...||..8...||..9...||..10..|
LOAD     1       1.0000  1.0000  101     1.0000  102     
GRAV     101     0       24.500  0.00    0.00    -1.00  
FORCE    102     12251   0       1.57+04 -0.02   0.07    1.00   
FORCE    102     12249   0       2.51+04 -0.04   0.07    1.00   
FORCE    102     12247   0       1.75+04 -0.05   0.07    1.00   
FORCE    102     12245   0       1.36+04 -0.08   0.07    0.99   
FORCE    102     11045   0       5.62+03 0.03    -0.07   -1.00  
FORCE    102     11100   0       1.03+04 0.04    0.10    0.99   
FORCE    102     11153   0       2.18+03 0.08    -0.04   -1.00  
FORCE    102     11154   0       6.39+03 0.03    0.10    0.99   
FORCE    102     11207   0       7.61+03 -0.05   0.08    1.00   
FORCE    102     11208   0       1.19+04 -0.02   0.09    1.00   
FORCE    102     11261   0       1.23+04 -0.03   0.09    1.00   
FORCE    102     12243   0       1.56+04 -0.09   0.08    0.99   
FORCE    102     11262   0       1.08+04 -0.02   0.10    0.99   
FORCE    102     11069   0       288.54  -0.62   -0.24   -0.75  
FORCE    102     11177   0       6.97+03 -0.01   0.09    1.00   
FORCE    102     11231   0       7.79+03 0.02    0.12    0.99   
FORCE    102     11315   0       1.05+04 -0.02   0.11    0.99   
FORCE    102     12241   0       1.35+04 -0.10   0.08    0.99   
FORCE    102     11316   0       1.32+04 -0.05   0.10    0.99   
FORCE    102     11285   0       5.58+03 -0.00   0.13    0.99   
FORCE    102     11369   0       7.82+03 -0.01   0.12    0.99   
FORCE    102     12239   0       1.17+04 -0.11   0.10    0.99   
FORCE    102     11339   0       4.67+03 -0.01   0.15    0.99   
FORCE    102     11370   0       1.65+04 -0.06   0.12    0.99   
FORCE    102     11423   0       5.19+03 -0.02   0.14    0.99   
FORCE    102     12237   0       9.99+03 -0.11   0.12    0.99   
FORCE    102     11393   0       4.88+03 -0.00   0.16    0.99   
FORCE    102     11424   0       1.19+04 -0.05   0.14    0.99   
FORCE    102     11051   0       9.33+03 0.05    0.10    0.99   
FORCE    102     11106   0       1.48+04 0.03    0.10    0.99   
FORCE    102     11159   0       1.28+04 0.04    0.10    0.99   
